threshold,accuracy,precision,recall,specificity,f1
0.10,0.5385,0.8542,0.3154,0.9103,0.4607
0.15,0.5096,0.8818,0.2487,0.9444,0.3880
0.20,0.4904,0.9000,0.2077,0.9615,0.3375
0.25,0.4728,0.9067,0.1744,0.9701,0.2925
0.30,0.4535,0.9016,0.1410,0.9744,0.2439
0.35,0.4503,0.9123,0.1333,0.9786,0.2327
0.40,0.4359,0.8958,0.1103,0.9786,0.1963
0.45,0.4279,0.9024,0.0949,0.9829,0.1717
0.50,0.4311,0.9487,0.0949,0.9915,0.1725
0.55,0.4006,0.9444,0.0436,0.9957,0.0833
0.60,0.3926,0.9231,0.0308,0.9957,0.0596
0.65,0.3926,1.0000,0.0282,1.0000,0.0549
0.70,0.3910,1.0000,0.0256,1.0000,0.0500
0.75,0.3894,1.0000,0.0231,1.0000,0.0451
0.80,0.3862,1.0000,0.0179,1.0000,0.0353
0.85,0.3766,1.0000,0.0026,1.0000,0.0051
0.90,0.3766,1.0000,0.0026,1.0000,0.0051
